gen:357 evo,best dist :531.1074264857062
gen:358 evo,best dist :531.1074264857062
gen:359 evo,best dist :531.1074264857062
gen:360 evo,best dist :531.1074264857062
gen:361 evo,best dist :531.1074264857062
gen:362 evo,best dist :531.1074264857062
gen:363 evo,best dist :531.1074264857062
gen:364 evo,best dist :531.1074264857062
gen:365 evo,best dist :531.1074264857062
gen:366 evo,best dist :531.1074264857062
gen:367 evo,best dist :531.1074264857062
gen:368 evo,best dist :531.1074264857062
gen:369 evo,best dist :531.1074264857062
gen:370 evo,best dist :531.1074264857062
gen:371 evo,best dist :531.1074264857062
gen:372 evo,best dist :531.1074264857062
gen:373 evo,best dist :531.1074264857062
gen:374 evo,best dist :531.1074264857062
gen:375 evo,best dist :531.1074264857062
gen:376 evo,best dist :531.1074264857062
gen:377 evo,best dist :531.1074264857062
gen:378 evo,best dist :529.1129360027226
gen:379 evo,best dist :529.1129360027226
gen:380 evo,best dist :622.9073380058124
gen:381 evo,best dist :622.9073380058124
gen:382 evo,best dist :573.3522787348405
gen:383 evo,best dist :640.4482500634824
gen:384 evo,best dist :601.5775857485845
gen:385 evo,best dist :531.1074264857062
gen:386 evo,best dist :531.1074264857062
gen:387 evo,best dist :531.1074264857062
gen:388 evo,best dist :531.1074264857062
gen:389 evo,best dist :531.1074264857062
gen:390 evo,best dist :531.1074264857062
gen:391 evo,best dist :531.1074264857062
gen:392 evo,best dist :531.1074264857062
gen:393 evo,best dist :531.1074264857062
gen:394 evo,best dist :531.1074264857062
gen:395 evo,best dist :528.2569836889562
gen:396 evo,best dist :528.2569836889562
gen:397 evo,best dist :526.0565691290731
gen:398 evo,best dist :526.0565691290731
gen:399 evo,best dist :526.0565691290731
gen:400 evo,best dist :526.0565691290731
gen:401 evo,best dist :523.2061263323232
gen:402 evo,best dist :520.5828790926591
gen:403 evo,best dist :520.5828790926591
gen:404 evo,best dist :520.5828790926591
gen:405 evo,best dist :520.5828790926591
gen:406 evo,best dist :516.0010617195259
gen:407 evo,best dist :516.0010617195259
gen:408 evo,best dist :516.0010617195259
gen:409 evo,best dist :516.0010617195259
gen:410 evo,best dist :516.0010617195259
gen:411 evo,best dist :516.0010617195259
gen:412 evo,best dist :516.0010617195259
gen:413 evo,best dist :516.0010617195259
gen:414 evo,best dist :516.0010617195259
gen:415 evo,best dist :516.0010617195259
gen:416 evo,best dist :516.0010617195259
gen:417 evo,best dist :516.0010617195259
gen:418 evo,best dist :516.0010617195259
gen:419 evo,best dist :516.0010617195259
gen:420 evo,best dist :516.0010617195259
gen:421 evo,best dist :516.0010617195259
gen:422 evo,best dist :516.0010617195259
gen:423 evo,best dist :516.0010617195259
gen:424 evo,best dist :516.0010617195259
gen:425 evo,best dist :516.0010617195259
gen:426 evo,best dist :516.0010617195259
gen:427 evo,best dist :516.0010617195259
gen:428 evo,best dist :516.0010617195259
gen:429 evo,best dist :516.0010617195259
gen:430 evo,best dist :516.0010617195259
gen:431 evo,best dist :516.0010617195259
gen:432 evo,best dist :516.0010617195259
gen:433 evo,best dist :516.0010617195259
gen:434 evo,best dist :516.0010617195259
gen:435 evo,best dist :516.0010617195259
gen:436 evo,best dist :516.0010617195259
gen:437 evo,best dist :516.0010617195259
gen:438 evo,best dist :516.0010617195259
gen:439 evo,best dist :516.0010617195259
gen:440 evo,best dist :516.0010617195259
gen:441 evo,best dist :516.0010617195259
gen:442 evo,best dist :516.0010617195259
gen:443 evo,best dist :516.0010617195259
gen:444 evo,best dist :516.0010617195259
gen:445 evo,best dist :516.0010617195259
gen:446 evo,best dist :516.0010617195259
gen:447 evo,best dist :516.0010617195259
gen:448 evo,best dist :516.0010617195259
gen:449 evo,best dist :516.0010617195259
gen:450 evo,best dist :516.0010617195259
gen:451 evo,best dist :516.0010617195259
gen:452 evo,best dist :516.0010617195259
gen:453 evo,best dist :510.93340799017864
gen:454 evo,best dist :510.93340799017864
gen:455 evo,best dist :510.93340799017864
gen:456 evo,best dist :510.93340799017864
gen:457 evo,best dist :510.93340799017864
gen:458 evo,best dist :504.5317060891626
gen:459 evo,best dist :504.5317060891626
gen:460 evo,best dist :504.5317060891626
gen:461 evo,best dist :504.5317060891626
gen:462 evo,best dist :504.5317060891626
gen:463 evo,best dist :504.5317060891626
gen:464 evo,best dist :498.004945104976
gen:465 evo,best dist :498.004945104976
gen:466 evo,best dist :498.004945104976
gen:467 evo,best dist :494.61149652020305
gen:468 evo,best dist :494.61149652020305
gen:469 evo,best dist :494.61149652020305
gen:470 evo,best dist :494.61149652020305
gen:471 evo,best dist :494.61149652020305
gen:472 evo,best dist :494.61149652020305
gen:473 evo,best dist :494.61149652020305
gen:474 evo,best dist :494.61149652020305
gen:475 evo,best dist :494.61149652020305
gen:476 evo,best dist :494.61149652020305
gen:477 evo,best dist :494.61149652020305
gen:478 evo,best dist :494.61149652020305
gen:479 evo,best dist :494.61149652020305
gen:480 evo,best dist :494.61149652020305
gen:481 evo,best dist :494.61149652020305
gen:482 evo,best dist :494.61149652020305
gen:483 evo,best dist :494.61149652020305
gen:484 evo,best dist :494.61149652020305
gen:485 evo,best dist :494.61149652020305
gen:486 evo,best dist :494.61149652020305
gen:487 evo,best dist :494.61149652020305
gen:488 evo,best dist :494.61149652020305
gen:489 evo,best dist :494.61149652020305
gen:490 evo,best dist :494.61149652020305
gen:491 evo,best dist :494.61149652020305
gen:492 evo,best dist :494.61149652020305
gen:493 evo,best dist :494.61149652020305
gen:494 evo,best dist :494.61149652020305
gen:495 evo,best dist :494.61149652020305
gen:496 evo,best dist :494.61149652020305
gen:497 evo,best dist :494.61149652020305
gen:498 evo,best dist :494.61149652020305
gen:499 evo,best dist :494.61149652020305

50 648.4088395818432
100 485.80550710529826 
150 494.2227516143101
200 473.44184667573614
250 480.9661726681105
300 480.24483264207254
350 469.50569162161656
400 503.34292027553767
450 473.50462603508066
500 455.7261369529913
